"TIME","GEO","INDIC_CO","Value","Flag and Footnotes"
"2006","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2006","Belarus","Employment rate (15 to 64 years), total (%)","75.3","i"
"2006","Belarus","Employment rate (15 to 64 years), males (%)","69.8","i"
"2006","Belarus","Employment rate (15 to 64 years), females (%)","81.1","i"
"2006","Belarus","Total employment rate of older workers (%)",":",""
"2006","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.9",""
"2006","Moldova","Employment rate (15 to 64 years), total (%)","47.0",""
"2006","Moldova","Employment rate (15 to 64 years), males (%)","48.6","e"
"2006","Moldova","Employment rate (15 to 64 years), females (%)","45.7","e"
"2006","Moldova","Total employment rate of older workers (%)","48.6",""
"2006","Ukraine","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2006","Ukraine","Employment rate (15 to 64 years), total (%)","62.1",""
"2006","Ukraine","Employment rate (15 to 64 years), males (%)","67.1",""
"2006","Ukraine","Employment rate (15 to 64 years), females (%)","57.5",""
"2006","Ukraine","Total employment rate of older workers (%)","38.9",""
"2006","Armenia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.5",""
"2006","Armenia","Employment rate (15 to 64 years), total (%)","45.3",""
"2006","Armenia","Employment rate (15 to 64 years), males (%)","61.2","i"
"2006","Armenia","Employment rate (15 to 64 years), females (%)","33.1","i"
"2006","Armenia","Total employment rate of older workers (%)","46.0","i"
"2006","Azerbaijan","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2006","Azerbaijan","Employment rate (15 to 64 years), total (%)","67.8",""
"2006","Azerbaijan","Employment rate (15 to 64 years), males (%)","71.7",""
"2006","Azerbaijan","Employment rate (15 to 64 years), females (%)","64.1",""
"2006","Azerbaijan","Total employment rate of older workers (%)","66.9",""
"2006","Georgia","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2006","Georgia","Employment rate (15 to 64 years), total (%)","56.1",""
"2006","Georgia","Employment rate (15 to 64 years), males (%)","63.1",""
"2006","Georgia","Employment rate (15 to 64 years), females (%)","49.8",""
"2006","Georgia","Total employment rate of older workers (%)","67.2",""
"2007","Belarus","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)",":",""
"2007","Belarus","Employment rate (15 to 64 years), total (%)","76.3","i"
"2007","Belarus","Employment rate (15 to 64 years), males (%)","70.7","i"
"2007","Belarus","Employment rate (15 to 64 years), females (%)","82.3","i"
"2007","Belarus","Total employment rate of older workers (%)",":",""
"2007","Moldova","Life-long learning: share of persons aged 25-64 having participated in education and training (at any time during a four week period prior to being surveyed) (%)","0.8",""
"2007","Moldova","Employment rate (15 to 64 years), total (%)","46.9",""
"2007","Moldova","Employment rate (15 to 64 years), males (%)","48.1",""
"2007","Moldova","Employment rate (15 to 64 years), females (%)","46.2",""
"2007","Moldova","Total employment rate of older workers (%)","49.9",""
