"AGE","GEO","SEX","TIME","CITIZEN","UNIT","Value","Flag and Footnotes"
"From 15 to 24 years","European Union (28 countries)","Total","2005","Total","Percentage","18.7","b"
"From 15 to 24 years","European Union (28 countries)","Total","2006","Total","Percentage","17.4",""
"From 15 to 24 years","European Union (28 countries)","Total","2007","Total","Percentage","15.5",""
"From 15 to 24 years","European Union (28 countries)","Total","2008","Total","Percentage","15.6",""
"From 15 to 24 years","European Union (28 countries)","Total","2009","Total","Percentage","19.9",""
"From 15 to 24 years","European Union (28 countries)","Total","2010","Total","Percentage","21.0",""
"From 15 to 24 years","European Union (28 countries)","Total","2011","Total","Percentage","21.7",""
"From 15 to 24 years","European Union (28 countries)","Total","2012","Total","Percentage","23.2",""
"From 15 to 24 years","European Union (28 countries)","Total","2013","Total","Percentage","23.6",""
"From 15 to 24 years","European Union (28 countries)","Total","2014","Total","Percentage","22.2",""
"From 15 to 24 years","European Union (28 countries)","Total","2015","Total","Percentage","20.3",""
"From 15 to 24 years","European Union (28 countries)","Total","2016","Total","Percentage","18.7",""
"From 15 to 24 years","European Union (28 countries)","Males","2005","Total","Percentage","18.6","b"
"From 15 to 24 years","European Union (28 countries)","Males","2006","Total","Percentage","17.1",""
"From 15 to 24 years","European Union (28 countries)","Males","2007","Total","Percentage","15.2",""
"From 15 to 24 years","European Union (28 countries)","Males","2008","Total","Percentage","15.7",""
"From 15 to 24 years","European Union (28 countries)","Males","2009","Total","Percentage","21.0",""
"From 15 to 24 years","European Union (28 countries)","Males","2010","Total","Percentage","21.8",""
"From 15 to 24 years","European Union (28 countries)","Males","2011","Total","Percentage","22.3",""
"From 15 to 24 years","European Union (28 countries)","Males","2012","Total","Percentage","23.9",""
"From 15 to 24 years","European Union (28 countries)","Males","2013","Total","Percentage","24.3",""
"From 15 to 24 years","European Union (28 countries)","Males","2014","Total","Percentage","22.9",""
"From 15 to 24 years","European Union (28 countries)","Males","2015","Total","Percentage","21.0",""
"From 15 to 24 years","European Union (28 countries)","Males","2016","Total","Percentage","19.4",""
"From 15 to 24 years","European Union (28 countries)","Females","2005","Total","Percentage","18.8","b"
"From 15 to 24 years","European Union (28 countries)","Females","2006","Total","Percentage","17.7",""
"From 15 to 24 years","European Union (28 countries)","Females","2007","Total","Percentage","15.9",""
"From 15 to 24 years","European Union (28 countries)","Females","2008","Total","Percentage","15.6",""
"From 15 to 24 years","European Union (28 countries)","Females","2009","Total","Percentage","18.6",""
"From 15 to 24 years","European Union (28 countries)","Females","2010","Total","Percentage","20.2",""
"From 15 to 24 years","European Union (28 countries)","Females","2011","Total","Percentage","21.0",""
"From 15 to 24 years","European Union (28 countries)","Females","2012","Total","Percentage","22.4",""
"From 15 to 24 years","European Union (28 countries)","Females","2013","Total","Percentage","22.9",""
"From 15 to 24 years","European Union (28 countries)","Females","2014","Total","Percentage","21.4",""
"From 15 to 24 years","European Union (28 countries)","Females","2015","Total","Percentage","19.5",""
"From 15 to 24 years","European Union (28 countries)","Females","2016","Total","Percentage","17.9",""
"From 15 to 24 years","European Union (27 countries)","Total","2005","Total","Percentage","18.6","b"
"From 15 to 24 years","European Union (27 countries)","Total","2006","Total","Percentage","17.3",""
"From 15 to 24 years","European Union (27 countries)","Total","2007","Total","Percentage","15.5",""
"From 15 to 24 years","European Union (27 countries)","Total","2008","Total","Percentage","15.6",""
"From 15 to 24 years","European Union (27 countries)","Total","2009","Total","Percentage","19.9",""
"From 15 to 24 years","European Union (27 countries)","Total","2010","Total","Percentage","21.0",""
"From 15 to 24 years","European Union (27 countries)","Total","2011","Total","Percentage","21.6",""
"From 15 to 24 years","European Union (27 countries)","Total","2012","Total","Percentage","23.1",""
"From 15 to 24 years","European Union (27 countries)","Total","2013","Total","Percentage","23.5",""
"From 15 to 24 years","European Union (27 countries)","Total","2014","Total","Percentage","22.0",""
"From 15 to 24 years","European Union (27 countries)","Total","2015","Total","Percentage","20.2",""
"From 15 to 24 years","European Union (27 countries)","Total","2016","Total","Percentage","18.6",""
"From 15 to 24 years","European Union (27 countries)","Males","2005","Total","Percentage","18.5","b"
"From 15 to 24 years","European Union (27 countries)","Males","2006","Total","Percentage","17.0",""
"From 15 to 24 years","European Union (27 countries)","Males","2007","Total","Percentage","15.2",""
