"TIME","GEO","SEX","AGE","CITIZEN","UNIT","Value","Flag and Footnotes"
"1998Q1","European Union (28 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (28 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (28 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (27 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (27 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (27 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (15 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (15 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","European Union (15 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (19 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (19 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (19 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (18 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (18 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (18 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (17 countries)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (17 countries)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Euro area (17 countries)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Belgium","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Belgium","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Belgium","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Bulgaria","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Bulgaria","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Bulgaria","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Czech Republic","Total","From 15 to 74 years","Total","Percentage","5.9",""
"1998Q1","Czech Republic","Males","From 15 to 74 years","Total","Percentage","4.9",""
"1998Q1","Czech Republic","Females","From 15 to 74 years","Total","Percentage","7.3",""
"1998Q1","Denmark","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Denmark","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Denmark","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Germany (until 1990 former territory of the FRG)","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Germany (until 1990 former territory of the FRG)","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Germany (until 1990 former territory of the FRG)","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Estonia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Estonia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Estonia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Ireland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Ireland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Ireland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Greece","Total","From 15 to 74 years","Total","Percentage","11.9","b"
"1998Q1","Greece","Males","From 15 to 74 years","Total","Percentage","8.1","b"
"1998Q1","Greece","Females","From 15 to 74 years","Total","Percentage","17.8","b"
"1998Q1","Spain","Total","From 15 to 74 years","Total","Percentage","19.4",""
"1998Q1","Spain","Males","From 15 to 74 years","Total","Percentage","14.7",""
"1998Q1","Spain","Females","From 15 to 74 years","Total","Percentage","26.9",""
"1998Q1","France","Total","From 15 to 74 years","Total","Percentage","12.1",""
"1998Q1","France","Males","From 15 to 74 years","Total","Percentage","10.4",""
"1998Q1","France","Females","From 15 to 74 years","Total","Percentage","14.1",""
"1998Q1","Croatia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Croatia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Croatia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Italy","Total","From 15 to 74 years","Total","Percentage","11.9",""
"1998Q1","Italy","Males","From 15 to 74 years","Total","Percentage","9.2",""
"1998Q1","Italy","Females","From 15 to 74 years","Total","Percentage","16.4",""
"1998Q1","Cyprus","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Cyprus","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Cyprus","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Latvia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Latvia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Latvia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Lithuania","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Lithuania","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Lithuania","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Luxembourg","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Luxembourg","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Luxembourg","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Hungary","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Hungary","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Hungary","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Malta","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Malta","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Malta","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Netherlands","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Netherlands","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Netherlands","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Austria","Total","From 15 to 74 years","Total","Percentage","5.5",""
"1998Q1","Austria","Males","From 15 to 74 years","Total","Percentage","5.4",""
"1998Q1","Austria","Females","From 15 to 74 years","Total","Percentage","5.6",""
"1998Q1","Poland","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Poland","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Poland","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Portugal","Total","From 15 to 74 years","Total","Percentage","6.0","b"
"1998Q1","Portugal","Males","From 15 to 74 years","Total","Percentage","4.9","b"
"1998Q1","Portugal","Females","From 15 to 74 years","Total","Percentage","7.4","b"
"1998Q1","Romania","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Romania","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Romania","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Slovenia","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Slovenia","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Slovenia","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Slovakia","Total","From 15 to 74 years","Total","Percentage","12.7",""
"1998Q1","Slovakia","Males","From 15 to 74 years","Total","Percentage","12.4",""
"1998Q1","Slovakia","Females","From 15 to 74 years","Total","Percentage","13.1",""
"1998Q1","Finland","Total","From 15 to 74 years","Total","Percentage","12.1",""
"1998Q1","Finland","Males","From 15 to 74 years","Total","Percentage","12.1",""
"1998Q1","Finland","Females","From 15 to 74 years","Total","Percentage","12.1",""
"1998Q1","Sweden","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Sweden","Males","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","Sweden","Females","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","United Kingdom","Total","From 15 to 74 years","Total","Percentage",":",""
"1998Q1","United Kingdom","Males","From 15 to 74 years","Total","Percentage",":",""
