"TIME","GEO","INDIC_MD","Value","Flag and Footnotes"
"2006","Algeria","Unemployment rate by education level, male, Illiterate (%)","3.8","i"
"2006","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","11.0","i"
"2006","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","15.9","i"
"2006","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","12.3","i"
"2006","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","10.2","i"
"2006","Egypt","Unemployment rate by education level, male, Illiterate (%)","0.9",""
"2006","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2006","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","1.8","i"
"2006","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","11.8",""
"2006","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","13.1",""
"2006","Morocco","Unemployment rate by education level, male, Illiterate (%)","3.0",""
"2006","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","8.0",""
"2006","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","18.2",""
"2006","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","17.8",""
"2006","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","15.5",""
"2006","Tunisia","Unemployment rate by education level, male, Illiterate (%)","8.2",""
"2006","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","14.6",""
"2006","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)","17.0",""
"2006","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","10.6",""
"2006","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","12.2",""
"2006","Israel","Unemployment rate by education level, male, Illiterate (%)","0.1",""
"2006","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","14.5",""
"2006","Israel","Unemployment rate by education level, male, ISCED 2 (%)","12.4",""
"2006","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","8.8",""
"2006","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","4.4",""
"2006","Jordan","Unemployment rate by education level, male, Illiterate (%)","9.8",""
"2006","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2006","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2006","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2006","Jordan","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2006","Lebanon","Unemployment rate by education level, male, Illiterate (%)",":",""
"2006","Lebanon","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2006","Lebanon","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2006","Lebanon","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
"2006","Lebanon","Unemployment rate by education level, male, ISCED 5-6 (%)",":",""
"2006","Palestine","Unemployment rate by education level, male, Illiterate (%)","22.2",""
"2006","Palestine","Unemployment rate by education level, male, ISCED 0-1 (%)","27.4",""
"2006","Palestine","Unemployment rate by education level, male, ISCED 2 (%)","27.0",""
"2006","Palestine","Unemployment rate by education level, male, ISCED 3-4 (%)","20.8",""
"2006","Palestine","Unemployment rate by education level, male, ISCED 5-6 (%)","15.1",""
"2007","Algeria","Unemployment rate by education level, male, Illiterate (%)","5.0","i"
"2007","Algeria","Unemployment rate by education level, male, ISCED 0-1 (%)","11.7","i"
"2007","Algeria","Unemployment rate by education level, male, ISCED 2 (%)","16.9","i"
"2007","Algeria","Unemployment rate by education level, male, ISCED 3-4 (%)","13.0","i"
"2007","Algeria","Unemployment rate by education level, male, ISCED 5-6 (%)","12.4","i"
"2007","Egypt","Unemployment rate by education level, male, Illiterate (%)","0.6",""
"2007","Egypt","Unemployment rate by education level, male, ISCED 0-1 (%)",":","i"
"2007","Egypt","Unemployment rate by education level, male, ISCED 2 (%)","1.4","i"
"2007","Egypt","Unemployment rate by education level, male, ISCED 3-4 (%)","9.4",""
"2007","Egypt","Unemployment rate by education level, male, ISCED 5-6 (%)","13.0",""
"2007","Morocco","Unemployment rate by education level, male, Illiterate (%)","3.0",""
"2007","Morocco","Unemployment rate by education level, male, ISCED 0-1 (%)","7.8",""
"2007","Morocco","Unemployment rate by education level, male, ISCED 2 (%)","17.1",""
"2007","Morocco","Unemployment rate by education level, male, ISCED 3-4 (%)","17.8",""
"2007","Morocco","Unemployment rate by education level, male, ISCED 5-6 (%)","16.7",""
"2007","Tunisia","Unemployment rate by education level, male, Illiterate (%)","6.3",""
"2007","Tunisia","Unemployment rate by education level, male, ISCED 0-1 (%)","12.4",""
"2007","Tunisia","Unemployment rate by education level, male, ISCED 2 (%)","18.2",""
"2007","Tunisia","Unemployment rate by education level, male, ISCED 3-4 (%)","12.2",""
"2007","Tunisia","Unemployment rate by education level, male, ISCED 5-6 (%)","13.4",""
"2007","Israel","Unemployment rate by education level, male, Illiterate (%)","0.0",""
"2007","Israel","Unemployment rate by education level, male, ISCED 0-1 (%)","15.0",""
"2007","Israel","Unemployment rate by education level, male, ISCED 2 (%)","11.2",""
"2007","Israel","Unemployment rate by education level, male, ISCED 3-4 (%)","7.5",""
"2007","Israel","Unemployment rate by education level, male, ISCED 5-6 (%)","3.4",""
"2007","Jordan","Unemployment rate by education level, male, Illiterate (%)","7.4",""
"2007","Jordan","Unemployment rate by education level, male, ISCED 0-1 (%)",":",""
"2007","Jordan","Unemployment rate by education level, male, ISCED 2 (%)",":",""
"2007","Jordan","Unemployment rate by education level, male, ISCED 3-4 (%)",":",""
